# Metadata
label,sec_025_r0.346
r,0.17676767676767668
r_over_R,0.34595959595959597
B_r,12.15052286051177
Cx,0.008735322082873025
Cy,0.004212510046249367
hs,[40.0]
dxf_path,C:\Users\samea\Desktop\geometry_tools\n_sections\blade\sec_025_r0.346.dxf
material_name,Al_7075_T6

# Convergence Results
run_label,mesh_h,xmin_touch_x_mm,xmin_touch_y_mm,xmax_touch_x_mm,xmax_touch_y_mm,ymin_touch_x_mm,ymin_touch_y_mm,ymax_touch_x_mm,ymax_touch_y_mm,bbox_width_mm,bbox_height_mm,area_mm2,perimeter_mm,cx_mm,cy_mm,ixx_c_mm4,iyy_c_mm4,ixy_c_mm4,ip_c_mm4,rx_mm,ry_mm,sx_mm3,sy_mm3,phi_deg,i1_mm4,i2_mm4,j_mm4,asx_mm2,asy_mm2,scx_elastic_mm,scy_elastic_mm,scx_trefftz_mm,scy_trefftz_mm,sc1_mm,sc2_mm,beta_x_plus,beta_x_minus,beta_y_plus,beta_y_minus,shape_factor_x,shape_factor_y,polar_r_mm,j_over_ip,asx_over_a,asy_over_a,compactness,shear_offset_ratio_x,shear_offset_ratio_y,vx,vy
sec_025_r0.346_h40,40.0,-40.156947192,-7.471932937,81.51624495499999,17.023831028,-30.967176016,-11.047797357,81.20812622,17.786257193,121.673192147,28.83405455,1469.9625384723518,255.4536889143912,9.52008761312781,4.239719919110753,5764568259365173.0,7.588924978869387e+16,1.6517048938381532e+16,8.165381804805906e+16,7.39555347571685,26.83350588949985,,,-77.38798581372822,7.958488427468386e+16,2068933773375189.0,7890642288118324.0,89560656452986.64,39901301892925.26,-7.239634356855877,-0.8662438374541247,-5.008084404562177,-0.3690484403367557,-0.7354165298965682,-7.2540917098179944,-0.017059625462431244,0.017059625462431244,-0.022184988297870616,0.022184988297870616,,,7453068.535280522,0.09663531328656454,60927169304.64223,27144434533.95241,44.39336749886701,1.7604587952397328,1.2043162883353418,60927169304.64223,27144434533.95241
