# Metadata
label,sec_077_r0.806
r,0.5444444444444444
r_over_R,0.8055555555555556
B_r,2.092038762417003
Cx,0.004281537017235245
Cy,0.0012024116833445364
hs,[40.0]
dxf_path,C:\Users\samea\Desktop\geometry_tools\n_sections\blade\sec_077_r0.806.dxf
material_name,Al_7075_T6

# Convergence Results
run_label,mesh_h,xmin_touch_x_mm,xmin_touch_y_mm,xmax_touch_x_mm,xmax_touch_y_mm,ymin_touch_x_mm,ymin_touch_y_mm,ymax_touch_x_mm,ymax_touch_y_mm,bbox_width_mm,bbox_height_mm,area_mm2,perimeter_mm,cx_mm,cy_mm,ixx_c_mm4,iyy_c_mm4,ixy_c_mm4,ip_c_mm4,rx_mm,ry_mm,sx_mm3,sy_mm3,phi_deg,i1_mm4,i2_mm4,j_mm4,asx_mm2,asy_mm2,scx_elastic_mm,scy_elastic_mm,scx_trefftz_mm,scy_trefftz_mm,sc1_mm,sc2_mm,beta_x_plus,beta_x_minus,beta_y_plus,beta_y_minus,shape_factor_x,shape_factor_y,polar_r_mm,j_over_ip,asx_over_a,asy_over_a,compactness,shear_offset_ratio_x,shear_offset_ratio_y,vx,vy
sec_077_r0.806_h40,40.0,-18.798195732,-0.6057595729999999,38.169505615,1.157922064,-4.026204763,-3.2722800999999997,4.636230362,5.515705475000001,56.967701347,8.787985575,309.10824411294516,117.1424597579793,4.638052145853995,1.1518454606772148,98289882578050.6,3512358013687022.5,152560755834325.06,3610647896265073.0,2.1059086876674105,12.588805295975607,,,-87.44646991173688,3519161771610655.5,91486124654417.38,348916059252399.44,20309684176196.297,8125211132039.627,-3.338200777140648,0.1886982339932555,-2.2907912378900908,0.2344659262095044,-0.33723690509988435,-3.3264790277188356,0.003500316910456831,-0.003500316910456831,-0.010089623220783007,0.010089623220783007,,,3417726.26053663,0.09663530459819282,65704116803.74119,26285973560.351734,44.393367499883894,1.7197419675681527,0.836177473076716,65704116803.74119,26285973560.351734
