# Metadata
label,Station_6
r,0.4
r_over_R,0.5
B_r,6.89916829995298
Cx,0.0025
Cy,-0.00705
mesh_h,3.0
scale_factors,"[0.6        0.63468646 0.67137816 0.71019105 0.75124773 0.79467794
 0.84061887 0.88921569 0.94062193 0.995     ]"
target_Jt_mm4,0.0001694875727525
target_Iz_mm4,0.0012572094756536
dxf_path,C:\Users\samea\Desktop\geometry_tools\n_sections\blade\Station_6.dxf

# Optimisation Results
run_label,mesh_h,scale_factor,area_mm2,Jt_mm4,Iz_mm4,target_Jt_mm4,target_Iz_mm4,delta_Jt_mm4,delta_Iz_mm4,passed,Jt_ratio,Iz_ratio,Area_reduction_pct,Jt_efficiency,Iz_efficiency,Slack_Jt,Excess_ratio_Jt,Slack_Iz,Excess_ratio_Iz
Station_6_s0.600_s0.600_h3.000,3.0,0.6,493.5152745908098,24290.292370972387,6938.6735013550015,0.0001694875727525,0.0012572094756536,24290.292201484815,6938.672244145526,True,143316067.2283809,5519106.907580149,0.0,49.21892719756707,14.059693506159643,24290.292201484815,143316066.2283809,6938.672244145526,5519105.907580149
Station_6_s0.635_s0.635_h3.000,3.0,0.6346864572033302,460.4906983451435,23074.451117598834,6678.237983471335,0.0001694875727525,0.0012572094756536,23074.450948111262,6678.236726261859,True,136142436.53895548,5311953.268566833,6.691702961584733,50.108397847168334,14.502438393372088,23074.450948111262,136142435.53895548,6678.236726261859,5311952.268566833
Station_6_s0.671_s0.671_h3.000,3.0,0.6713781649288577,423.53739934183415,21607.16517926749,6352.151999431878,0.0001694875727525,0.0012572094756536,21607.165009779917,6352.150742222402,True,127485247.61057311,5052580.435038092,14.179475054140255,51.015955646052625,14.997853812444788,21607.165009779917,127485246.61057313,6352.150742222402,5052579.435038092
Station_6_s0.710_s0.710_h3.000,3.0,0.710191048237283,382.18800256467097,19826.120705184938,5943.866408960299,0.0001694875727525,0.0012572094756536,19826.120535697366,5943.865151750823,True,116976840.14943506,4727825.015692148,22.55801953008324,51.87530893733408,15.552205639826495,19826.120535697366,116976839.14943506,5943.865151750823,4727824.015692148
Station_6_s0.751_s0.751_h3.000,3.0,0.7512477339054009,335.9195323444391,17660.63000533318,5432.660371462438,0.0001694875727525,0.0012572094756536,17660.629835845608,5432.659114252962,True,104200147.0581133,4321205.397086351,31.933305889475992,52.57398961613414,16.17250516380213,17660.629835845608,104200146.05811332,5432.659114252962,4321204.397086351
Station_6_s0.795_s0.795_h3.000,3.0,0.7946779378574149,284.1467979542225,15014.217968540986,4792.589745988018,0.0001694875727525,0.0012572094756536,15014.217799053413,4792.588488778542,True,88585951.90613773,3812085.287932179,42.42391014344628,52.83965216796092,16.866597760359518,15014.217799053413,88585950.90613773,4792.588488778542,3812084.287932179
Station_6_s0.841_s0.841_h3.000,3.0,0.8406188749939514,226.214992282784,11948.05902774877,3991.170404319723,0.0001694875727525,0.0012572094756536,11948.058858261196,3991.169147110247,True,70495192.26519534,3174626.410006007,54.16251453000183,52.81727310457341,17.64326212000348,11948.058858261196,70495191.26519533,3991.169147110247,3174625.410006007
Station_6_s0.889_s0.889_h3.000,3.0,0.8892156927136002,161.3928769597593,5428.452869481583,2987.736176992208,0.0001694875727525,0.0012572094756536,5428.45269999401,2987.7349197827325,True,32028618.861682948,2376482.3880594275,67.29728839830224,33.63502139462499,18.512193556950795,5428.45269999401,32028617.861682948,2987.7349197827325,2376481.3880594275
Station_6_s0.941_s0.941_h3.000,3.0,0.9406219294966667,89.09770741994856,3926.8614329855786,1732.4351939592505,0.0001694875727525,0.0012572094756536,3926.861263498006,1732.4339367497748,True,23169022.77384025,1378000.4267455821,81.94631209868378,44.073652922144355,19.444217411719464,3926.861263498006,23169021.77384025,1732.4339367497748,1377999.4267455821
Station_6_s0.995_s0.995_h3.000,3.0,0.995,7.7610623806857495,438.9515223038814,158.574495909237,0.0001694875727525,0.0012572094756536,438.95135281630866,158.57323869976133,True,2589874.3794323807,126132.11957124092,98.42739165730569,56.55817474116174,20.432060474590042,438.95135281630866,2589873.3794323807,158.57323869976133,126131.11957124092
