# Metadata
label,Station_6
r,0.4
r_over_R,0.5
B_r,6.89916829995298
Cx,0.0025
Cy,-0.00705
mesh_h,3.0
scale_factors,"[0.6        0.63468646 0.67137816 0.71019105 0.75124773 0.79467794
 0.84061887 0.88921569 0.94062193 0.995     ]"
target_Jt_mm4,9.897783795863316e-05
target_Iz_mm4,0.0009506838435738
dxf_path,C:\Users\samea\Desktop\geometry_tools\section_calc_n\blade\Station_6.dxf

# Optimisation Results
run_label,mesh_h,scale_factor,area_mm2,Jt_mm4,Iz_mm4,target_Jt_mm4,target_Iz_mm4,delta_Jt_mm4,delta_Iz_mm4,passed,Jt_ratio,Iz_ratio,Area_reduction_pct,Jt_efficiency,Iz_efficiency,Slack_Jt,Excess_ratio_Jt,Slack_Iz,Excess_ratio_Iz
Station_6_s0.600_s0.600_h3.000,3.0,0.6,493.5152745908098,24290.292370972387,6938.6735013550015,9.897783795863316e-05,0.0009506838435738,24290.29227199455,6938.672550671158,True,245411426.15303725,7298613.043923433,0.0,49.21892719756707,14.059693506159643,24290.29227199455,245411425.15303725,6938.672550671158,7298612.043923433
