r_over_R,twist_deg,chord
0.125,34.1104050834199,0.120433447141891
0.12509211843167617,34.110378304195685,0.12051802849968059
0.12552110054168392,34.10956636882856,0.12091709035235443
0.12643598423579017,34.10433117823423,0.12179593191536522
0.12794778981363736,34.08686449442569,0.12332679582081812
0.13014957688021453,34.047462755138724,0.12571882797815753
0.13312315352643367,33.89664728790284,0.1296892030315166
0.13694240060764132,33.50848477441784,0.13304715638811657
0.1416752173338849,32.75522250603952,0.13539457550466985
0.14738477889730878,31.835251744673926,0.1375791610337153
0.15413040585792925,30.740691606536743,0.13964148850950162
0.16196819517164643,29.504001813241846,0.14159598802780324
0.17095149554528527,28.155547321441723,0.14348333506015323
0.1811312761712136,26.722622612637657,0.1453278685197047
0.19255641962647613,25.213434823076707,0.14687834880876768
0.20527395914612231,23.60698416604111,0.1474653241331576
0.21932927403639582,21.911544056997,0.14715230367159884
0.23476625289758718,20.18787147625308,0.14612301730394991
0.2516274316291885,18.528729211999167,0.14403274237952435
0.26995411135950764,16.936663708292688,0.14116842524562379
0.2897864601668648,15.436252648133253,0.13742487113625157
0.3111636015509856,14.03588116547187,0.13277203830306583
0.3341236919527918,12.749400947809477,0.12729138908867338
0.35870398913215745,11.554951949893447,0.12097970630581102
0.3849409128458771,10.466411716516168,0.11419292221402112
0.41287009898802435,9.443251348386184,0.10754320429453772
0.44252644813856007,8.478970072988748,0.10115906974151344
0.4739441692970099,7.574249359480679,0.09507945615876245
0.507156819444522,6.727665871525391,0.08932755870207998
0.5421973394711265,5.936669771127751,0.0839103381217014
0.5790980869193197,5.202836412872721,0.07885612412923908
0.6178908659255513,4.519689307962598,0.0741278166270905
0.6586069546843171,3.8856608232491125,0.06971033018336245
0.7012771307127267,3.294917039877113,0.06555740691564754
0.7459316941545713,2.740612079502211,0.06163287697146163
0.792600489330519,2.2255768236617364,0.05795584768913758
0.8413129247138807,1.7421170394573915,0.05445602406378076
0.8920979914884437,1.2813423842502527,0.05103777738539709
0.9449842808254225,0.8203430764502802,0.04740344597683154
1.0,0.315909961538458,0.043089963807692
