# Metadata
label,Station_14
r,0.8
r_over_R,1.0
B_r,0.315909961538458
Cx,0.000847
Cy,-0.0024300000000000003
hs,"[40.0, 10.0, 2.5]"
dxf_path,C:\Users\samea\Desktop\geometry_tools\n_sections\blade\Station_14.dxf
material_name,Al_7075_T6

# Convergence Results
run_label,mesh_h,xmin_touch_x_mm,xmin_touch_y_mm,xmax_touch_x_mm,xmax_touch_y_mm,ymin_touch_x_mm,ymin_touch_y_mm,ymax_touch_x_mm,ymax_touch_y_mm,bbox_width_mm,bbox_height_mm,area_mm2,perimeter_mm,cx_mm,cy_mm,ixx_c_mm4,iyy_c_mm4,ixy_c_mm4,ip_c_mm4,rx_mm,ry_mm,sx_mm3,sy_mm3,phi_deg,i1_mm4,i2_mm4,j_mm4,asx_mm2,asy_mm2,scx_elastic_mm,scy_elastic_mm,scx_trefftz_mm,scy_trefftz_mm,sc1_mm,sc2_mm,beta_x_plus,beta_x_minus,beta_y_plus,beta_y_minus,shape_factor_x,shape_factor_y,polar_r_mm,j_over_ip,asx_over_a,asy_over_a,compactness,shear_offset_ratio_x,shear_offset_ratio_y,vx,vy
Station_14_h40,40.0,-16.927319438999998,-3.3189675469999997,26.144179575,-2.535359541,-6.679112094,-5.651610031,-1.856940352,0.8342039290000001,43.071499014,6.48581396,174.43991695488768,88.20770880005357,0.8470000002993906,-2.4299999999043687,415.34959080128766,15751.314412481557,444.1315708199706,16166.664003282845,1.5430640662463058,9.502447189348683,,,-88.34255842545357,15764.165752293282,402.49825098956285,1536.4529550783654,160.07733887073005,113.00847871010357,-1.7705237436472032,0.19539199179600353,-1.7705237436472003,0.19539199179600134,-0.24652047984312192,-1.7641315172895795,0.004169285400832373,-0.004169285400832373,-0.006118383852005578,0.006118383852005578,,,9.626917954304028,0.09503834277537836,0.9176646129230159,0.6478361184918987,44.60332260859311,3.090346804039401,-1.080408227079709,0.9176646129230159,0.6478361184918987
Station_14_h10,10.0,-16.927319438999998,-3.3189675469999997,26.144179575,-2.535359541,-6.679112094,-5.651610031,-1.856940352,0.8342039290000001,43.071499014,6.48581396,174.43991695488768,88.20770880005357,0.8470000002993906,-2.4299999999043687,415.34959080128766,15751.314412481557,444.1315708199706,16166.664003282845,1.5430640662463058,9.502447189348683,,,-88.34255842545357,15764.165752293282,402.49825098956285,1536.4529550783654,160.07733887073005,113.00847871010357,-1.7705237436472032,0.19539199179600353,-1.7705237436472003,0.19539199179600134,-0.24652047984312192,-1.7641315172895795,0.004169285400832373,-0.004169285400832373,-0.006118383852005578,0.006118383852005578,,,9.626917954304028,0.09503834277537836,0.9176646129230159,0.6478361184918987,44.60332260859311,3.090346804039401,-1.080408227079709,0.9176646129230159,0.6478361184918987
Station_14_h2.5,2.5,-16.927319438999998,-3.3189675469999997,26.144179575,-2.535359541,-6.679112094,-5.651610031,-1.856940352,0.8342039290000001,43.071499014,6.48581396,174.43991695488768,88.20770880005357,0.8470000002993906,-2.4299999999043687,415.34959080128766,15751.314412481557,444.1315708199706,16166.664003282845,1.5430640662463058,9.502447189348683,,,-88.34255842545357,15764.165752293282,402.49825098956285,1536.4529550783654,160.07733887073005,113.00847871010357,-1.7705237436472032,0.19539199179600353,-1.7705237436472003,0.19539199179600134,-0.24652047984312192,-1.7641315172895795,0.004169285400832373,-0.004169285400832373,-0.006118383852005578,0.006118383852005578,,,9.626917954304028,0.09503834277537836,0.9176646129230159,0.6478361184918987,44.60332260859311,3.090346804039401,-1.080408227079709,0.9176646129230159,0.6478361184918987
