# Metadata
label,Station_10
r,0.6
r_over_R,0.75
B_r,2.6927311322103797
Cx,0.0013700000000000001
Cy,-0.00512
mesh_h,3.0
scale_factors,"[0.6        0.63468646 0.67137816 0.71019105 0.75124773 0.79467794
 0.84061887 0.88921569 0.94062193 0.995     ]"
target_Jt_mm4,1.390560842368738e-05
target_Iz_mm4,1.7527749775150644e-05
dxf_path,C:\Users\samea\Desktop\geometry_tools\section_calc_n\blade\Station_10.dxf

# Optimisation Results
run_label,mesh_h,scale_factor,area_mm2,Jt_mm4,Iz_mm4,target_Jt_mm4,target_Iz_mm4,delta_Jt_mm4,delta_Iz_mm4,passed,Jt_ratio,Iz_ratio,Area_reduction_pct,Jt_efficiency,Iz_efficiency,Slack_Jt,Excess_ratio_Jt,Slack_Iz,Excess_ratio_Iz
Station_10_s0.600_s0.600_h3.000,3.0,0.6,226.77993634589203,5107.9867813413775,1454.5911128097148,1.390560842368738e-05,1.7527749775150644e-05,5107.986767435769,1454.591095281965,True,367332850.5813687,82987898.13121994,0.0,22.52398013530841,6.414108479998538,5107.986767435769,367332849.5813687,1454.591095281965,82987897.13121994
Station_10_s0.635_s0.635_h3.000,3.0,0.6346864572033302,211.60449662632035,4852.46407578524,1399.9946214179006,1.390560842368738e-05,1.7527749775150644e-05,4852.464061879632,1399.9946038901508,True,348957336.3449064,79873037.86152254,6.6917029628342455,22.931762571919126,6.616091074331937,4852.464061879632,348957335.3449064,1399.9946038901508,79873036.86152254
