# Metadata
label,Station_10
r,0.6
r_over_R,0.75
B_r,2.6927311322103797
Cx,0.0013700000000000001
Cy,-0.00512
mesh_h,3.0
scale_factors,"[0.6        0.63468646 0.67137816 0.71019105 0.75124773 0.79467794
 0.84061887 0.88921569 0.94062193 0.995     ]"
target_Jt_mm4,3.063345206660704e-05
target_Iz_mm4,0.0001779059363641
dxf_path,C:\Users\samea\Desktop\geometry_tools\n_sections\blade\Station_10.dxf

# Optimisation Results
run_label,mesh_h,scale_factor,area_mm2,Jt_mm4,Iz_mm4,target_Jt_mm4,target_Iz_mm4,delta_Jt_mm4,delta_Iz_mm4,passed,Jt_ratio,Iz_ratio,Area_reduction_pct,Jt_efficiency,Iz_efficiency,Slack_Jt,Excess_ratio_Jt,Slack_Iz,Excess_ratio_Iz
Station_10_s0.600_s0.600_h3.000,3.0,0.6,226.77993634589203,5107.9867813413775,1454.5911128097148,3.063345206660704e-05,0.0001779059363641,5107.986750707925,1454.5909349037784,True,166745385.73827597,8176180.86578498,0.0,22.52398013530841,6.414108479998538,5107.986750707925,166745384.73827595,1454.5909349037784,8176179.865784979
Station_10_s0.635_s0.635_h3.000,3.0,0.6346864572033302,211.60449662632035,4852.46407578524,1399.9946214179006,3.063345206660704e-05,0.0001779059363641,4852.464045151788,1399.9944435119642,True,158404089.26928684,7869296.831965683,6.6917029628342455,22.931762571919126,6.616091074331937,4852.464045151788,158404088.2692868,1399.9944435119642,7869295.831965682
Station_10_s0.671_s0.671_h3.000,3.0,0.6713781649288577,194.6237318437226,4546.271069682313,1331.63547379015,3.063345206660704e-05,0.0001779059363641,4546.271039048861,1331.6352958842135,True,148408708.87803465,7485053.6244324185,14.179475054232205,23.35928422815796,6.842102251227081,4546.271039048861,148408707.87803465,1331.6352958842135,7485052.624432418
