# Metadata
label,Station_6
r,0.4
r_over_R,0.5
B_r,6.89916829995298
Cx,0.0025
Cy,-0.00705
hs,"[40.0, 10.0, 2.5]"
dxf_path,C:\Users\Sam Hughes\Desktop\geometry_tools\n_sections\blade\Station_6.dxf
material_name,Al_7075_T6

# Convergence Results
run_label,mesh_h,x_min_mm,x_max_mm,y_min_mm,y_max_mm,max_width_mm,max_height_mm,area_mm2,perimeter_mm,cx_mm,cy_mm,ixx_c_mm4,iyy_c_mm4,ixy_c_mm4,ip_c_mm4,rx_mm,ry_mm,sx_mm3,sy_mm3,phi_deg,i1_mm4,i2_mm4,j_mm4,asx_mm2,asy_mm2,scx_mm,scy_mm,beta_x_plus,beta_x_minus,beta_y_plus,beta_y_minus,shape_factor_x,shape_factor_y,polar_r_mm,j_over_ip,asx_over_a,asy_over_a,compactness,shear_offset_ratio_x,shear_offset_ratio_y,vx,vy
Station_6_h40,40.0,-34.073080939,54.815705183000006,-15.601650288,0.228246694,88.888786122,15.829896982000001,574.2730993591284,183.63521969099048,2.5000000003181735,-7.0499999996995015,11779.24021385324,266620.6174272365,32661.522163348818,278399.85764108977,0.0,-82.8115071206063,270740.0630573261,7659.794583763723,4.52896956969647,21.54704051865202,0.0,26669.421432454077,,,,,,,,,,,,,,,,,,,
Station_6_h10,10.0,-34.073080939,54.815705183000006,-15.601650288,0.228246694,88.888786122,15.829896982000001,574.2730993591284,183.63521969099048,2.5000000003181735,-7.0499999996995015,11779.24021385324,266620.6174272365,32661.522163348818,278399.85764108977,0.0,-82.8115071206063,270740.0630573261,7659.794583763723,4.52896956969647,21.54704051865202,0.0,26669.421432454077,,,,,,,,,,,,,,,,,,,
Station_6_h2.5,2.5,-34.073080939,54.815705183000006,-15.601650288,0.228246694,88.888786122,15.829896982000001,574.2730993591284,183.63521969099048,2.5000000003181735,-7.0499999996995015,11779.24021385324,266620.6174272365,32661.522163348818,278399.85764108977,0.0,-82.8115071206063,270740.0630573261,7659.794583763723,4.52896956969647,21.54704051865202,0.0,26669.421432454077,,,,,,,,,,,,,,,,,,,
