# Metadata
label,sec_007_r0.592
r,0.37345378588277944
r_over_R,0.5918172323534744
B_r,4.9690256543346845
Cx,0.005963110073677755
Cy,0.0018531320743317486
hs,[40.0]
dxf_path,C:\Users\samea\Desktop\geometry_tools\n_sections\blade\sec_007_r0.592.dxf
material_name,Al_7075_T6

# Convergence Results
run_label,mesh_h,x_min_mm,x_max_mm,y_min_mm,y_max_mm,bbox_width_mm,bbox_height_mm,c_x_g_mm,c_y_g_mm,ixx_g_mm4,iyy_g_mm4,ixy_g_mm4,ip_g_mm4,rx_g_mm,ry_g_mm,sx_g_mm3,sy_g_mm3,principal_angle_g_deg,i11_g_mm4,i22_g_mm4,area_mm2,perimeter_mm,cx_mm,cy_mm,ixx_c_mm4,iyy_c_mm4,ixy_c_mm4,ip_c_mm4,rx_c_mm,ry_c_mm,sx_c_mm3,sy_c_mm3,principal_angle_deg,i11_c_mm4,i22_c_mm4,rx_mm,ry_mm,sx_mm3,sy_mm3,i1_mm4,i2_mm4,xmin_touch_x_mm,xmin_touch_y_mm,xmax_touch_x_mm,xmax_touch_y_mm,ymin_touch_x_mm,ymin_touch_y_mm,ymax_touch_x_mm,ymax_touch_y_mm,j_mm4,asx_mm2,asy_mm2,scx_global_mm,scy_global_mm,scx_from_centroid_mm,scy_from_centroid_mm,scx_norm_origin,scy_norm_origin,scx_norm_centroid,scy_norm_centroid,sc1_mm,sc2_mm,beta_x_plus,beta_x_minus,beta_y_plus,beta_y_minus,shape_factor_x_c,shape_factor_y_c,shape_factor_x_g,shape_factor_y_g,polar_r_c_mm,polar_r_g_mm,j_over_ip_c,j_over_ip_g,asx_over_a,asy_over_a,compactness,vx,vy
sec_007_r0.592_h40,40.0,-25.633389963741,51.353782906555,-4.886369349223,7.882014426002,76.98717287029599,12.768383775225,7.882014426002,51.353782906555,412169477100592.44,1.1767617307082262e+16,1089353286593151.6,1.2179786784182854e+16,852057.6556062822,4552766.084741935,52292403289809.44,229148012883393.6,84.56948301986489,1.187117693797206e+16,308609846210793.0,567.7247941932437,158.7552059841501,5.968574996701535,1.8537451078659044,412169477098641.5,1.1767617307062038e+16,1089353286586870.2,1.217978678416068e+16,3.182067625305917,17.002616511392695,61151702945510.5,259283097929957.97,-84.56948301988692,1.1871176937950816e+16,308609846209863.0,3.182067625305917,17.002616511392695,61151702945510.5,259283097929957.97,1.1871176937950816e+16,308609846209863.0,-25.633389963741,-2.119384533532,51.353782906555,4.142830575028,-11.536576278303,-4.886369349223,11.221103907592,7.882014426002,1176997472117518.0,36812255352252.24,15008304441114.64,-4.5311849738991565,0.028337257888394498,-10.499759970600692,-1.82540784997751,0.08823468725067922,0.0035951796529212934,0.20445932853099438,0.2315915388273925,-0.4570348834023131,-4.508165855780771,-3.2170811744928125,3.2170811744928125,-13.719878347723236,13.719878347723236,0.005151275502432736,0.8401646969929744,0.126871120243208,0.019472762149180565,4631811.877744456,4631811.877748673,0.09663531004074354,0.0966353100405676,64841725654.352844,26435879839.354122,44.39336749927323,64841725654.352844,26435879839.354122
