# Chord and twist distributions for the blades of the benchmarking turbine.,,
# r/R [-],# B [deg],# Chord [m]
0.125000000000000,34.110405083419900,0.120433447141891
0.130000000000000,34.050702640592400,0.125548345790540
0.135000000000000,33.745798811881200,0.131732771018152
0.140000000000000,33.015496856084300,0.134618580213291
0.144999999999999,32.221973259781800,0.136737003066068
0.149999999999999,31.409105697759600,0.138420141512016
0.154999999999999,30.601212761295300,0.139879983172387
0.160000000000000,29.809452300332400,0.141138852145732
0.165000000000000,29.040545367522800,0.142263949338318
0.170000000000000,28.295716062322000,0.143285163313954
0.174999999999999,27.567403949740200,0.144312832940358
0.179999999999999,26.875844230732400,0.145153780398755
0.184999999999999,26.206145244795600,0.145885507233398
0.190000000000000,25.548551452966600,0.146538515927352
0.195000000000000,24.896315562952100,0.147132877721851
0.200000000000000,24.264317111233500,0.147370699780151
0.204999999999999,23.640935977159400,0.147465429833290
0.209999999999999,23.024952023002800,0.147438858513939
0.214999999999999,22.423559348918600,0.147310895018502
0.220000000000000,21.833262149779600,0.147123001871294
0.225000000000000,21.259011048458100,0.146848439423383
0.230000000000000,20.707017672185000,0.146490437203424
0.234999999999999,20.163298429640400,0.146101416906338
0.239999999999999,19.657605584881100,0.145512329510366
0.244999999999999,19.156706046698200,0.144908860033738
0.250000000000000,18.682616353219500,0.144249231356510
0.255000000000000,18.214543814771300,0.143568946532275
0.260000000000000,17.776100774316700,0.142786947315897
0.265000000000000,17.341455405783500,0.141997937825093
0.270000000000000,16.932915293843300,0.141160739597480
0.275000000000000,16.524375181903000,0.140323541369868
0.280000000000000,16.148903256330400,0.139367394993781
0.284999999999999,15.774003211905800,0.138409191528653
0.289999999999999,15.421372785581200,0.137380368679472
0.294999999999999,15.076895716703200,0.136325690645964
0.299999999999999,14.742129960029000,0.135252098148278
0.304999999999999,14.424013673462800,0.134146077921025
0.309999999999999,14.105897386896600,0.133040057693771
0.315000000000000,13.812226198019800,0.131867444650011
0.320000000000000,13.521681643564300,0.130686314095096
0.325000000000000,13.237680914406800,0.129497043339303
0.330000000000000,12.970440581097900,0.128286923465024
0.335000000000000,12.703200247788800,0.127076803590745
0.340000000000000,12.446425525897400,0.125824037661132
0.344999999999999,12.198402253583000,0.124535610670924
0.349999999999999,11.950378981268500,0.123247183680714
0.354999999999999,11.720418387085800,0.121946532191536
0.359999999999999,11.497281692522300,0.120641262408586
0.364999999999999,11.274144997958700,0.119335992625638
0.369999999999999,11.065961278576200,0.118031976491470
0.375000000000000,10.861839048891900,0.116728300870248
0.380000000000000,10.657716819207500,0.115424625249025
0.385000000000000,10.464139350436500,0.114178276263264
