2025-07-30 14:23:08,874 | INFO     | ProcessedGeometry.Station_6 | Logger initialized for ProcessedGeometry [Station_6]
2025-07-30 14:23:08,874 | INFO     | ProcessedGeometry.Station_6 | Importing DXF geometry from C:\Users\Sam Hughes\Desktop\geometry_tools\n_sections\blade\Station_6.dxf
2025-07-30 14:23:08,978 | INFO     | ProcessedGeometry.Station_6 | DXF import complete
2025-07-30 14:23:08,979 | DEBUG    | ProcessedGeometry.Station_6 | Scaled single geometry to metres
2025-07-30 14:23:08,980 | DEBUG    | ProcessedGeometry.Station_6 | Resampling polygon: 147 points, target=400 points, perimeter=0.182069
2025-07-30 14:23:08,981 | DEBUG    | ProcessedGeometry.Station_6 | Resampled exterior generated with 400 points
2025-07-30 14:23:08,981 | DEBUG    | ProcessedGeometry.Station_6 | Resampled polygon 0 with 400 exterior nodes
2025-07-30 14:23:08,983 | INFO     | ProcessedGeometry.Station_6 | Resampling and geometry reconstruction complete
2025-07-30 14:23:08,986 | INFO     | ProcessedGeometry.Station_6 | Applied twist rotation: 6.90°
2025-07-30 14:23:09,363 | INFO     | ProcessedGeometry.Station_6 | Applied centroid translation to (0.003, -0.007)
2025-07-30 14:23:09,363 | INFO     | ProcessedGeometry.Station_6 | Processed geometry completed for Station_6
