# Metadata
label,Station_2
r,0.2
r_over_R,0.25
B_r,18.6826163532195
Cx,0.005849999999999999
Cy,-0.00941
hs,"[40.0, 10.0, 2.5]"
dxf_path,C:\Users\Sam Hughes\Desktop\geometry_tools\n_sections\blade\Station_2.dxf
material_name,Al_7075_T6

# Convergence Results
run_label,mesh_h,x_min_mm,x_max_mm,y_min_mm,y_max_mm,max_width_mm,max_height_mm,area_mm2,perimeter_mm,cx_mm,cy_mm,ixx_c_mm4,iyy_c_mm4,ixy_c_mm4,ip_c_mm4,rx_mm,ry_mm,sx_mm3,sy_mm3,phi_deg,i1_mm4,i2_mm4,j_mm4,asx_mm2,asy_mm2,scx_mm,scy_mm,beta_x_plus,beta_x_minus,beta_y_plus,beta_y_minus,shape_factor_x,shape_factor_y,polar_r_mm,j_over_ip,asx_over_a,asy_over_a,compactness,shear_offset_ratio_x,shear_offset_ratio_y,vx,vy
Station_2_h40,40.0,-49.056324796,84.104815248,-31.012559852,10.558899516,133.16114004399998,41.571459368,1435.9437296867645,285.12470901949615,5.849999999890214,-9.410000000423134,193203.00812212503,1491634.6043645258,454564.6334102438,1684837.6124866507,0.0,-72.50062661866379,1634952.8171712707,49884.79531538006,11.599472275917465,32.2301639136723,0.0,172849.17330259725,,,,,,,,,,,,,,,,,,,
Station_2_h10,10.0,-49.056324796,84.104815248,-31.012559852,10.558899516,133.16114004399998,41.571459368,1435.9437296867645,285.12470901949615,5.849999999890214,-9.410000000423134,193203.00812212503,1491634.6043645258,454564.6334102438,1684837.6124866507,0.0,-72.50062661866379,1634952.8171712707,49884.79531538006,11.599472275917465,32.2301639136723,0.0,172849.17330259725,,,,,,,,,,,,,,,,,,,
Station_2_h2.5,2.5,-49.056324796,84.104815248,-31.012559852,10.558899516,133.16114004399998,41.571459368,1435.9437296867645,285.12470901949615,5.849999999890214,-9.410000000423134,193203.00812212503,1491634.6043645258,454564.6334102438,1684837.6124866507,0.0,-72.50062661866379,1634952.8171712707,49884.79531538006,11.599472275917465,32.2301639136723,0.0,172849.17330259725,,,,,,,,,,,,,,,,,,,
