2025-07-30 14:23:12,593 | INFO     | ProcessedGeometry.Station_10 | Logger initialized for ProcessedGeometry [Station_10]
2025-07-30 14:23:12,593 | INFO     | ProcessedGeometry.Station_10 | Importing DXF geometry from C:\Users\Sam Hughes\Desktop\geometry_tools\n_sections\blade\Station_10.dxf
2025-07-30 14:23:12,795 | INFO     | ProcessedGeometry.Station_10 | DXF import complete
2025-07-30 14:23:12,797 | DEBUG    | ProcessedGeometry.Station_10 | Scaled single geometry to metres
2025-07-30 14:23:12,797 | DEBUG    | ProcessedGeometry.Station_10 | Resampling polygon: 112 points, target=400 points, perimeter=0.122965
2025-07-30 14:23:12,799 | DEBUG    | ProcessedGeometry.Station_10 | Resampled exterior generated with 400 points
2025-07-30 14:23:12,800 | DEBUG    | ProcessedGeometry.Station_10 | Resampled polygon 0 with 400 exterior nodes
2025-07-30 14:23:12,801 | INFO     | ProcessedGeometry.Station_10 | Resampling and geometry reconstruction complete
2025-07-30 14:23:12,804 | INFO     | ProcessedGeometry.Station_10 | Applied twist rotation: 2.69°
2025-07-30 14:23:13,235 | INFO     | ProcessedGeometry.Station_10 | Applied centroid translation to (0.001, -0.005)
2025-07-30 14:23:13,235 | INFO     | ProcessedGeometry.Station_10 | Processed geometry completed for Station_10
